date,prec,tmax,tmin
201905,2,24.7,8.4
201906,0,22,4.6
201907,0,21.9,4.6
201908,0,26.7,9.3
201909,4,27.5,10.9
201910,21,30.6,15.9
201911,120,29.8,16.4
201912,247,27.6,15
202001,122,28.3,15.8
202002,75,28.4,15.9
202003,62,26.7,13.6
202004,63,25,10
202005,0,23.2,6.6
202006,4,20.5,3.1
202007,0,21.2,3.8
202008,1,24,6.4
202009,6,27.3,10.3
202010,59,28.9,14.1
202011,107,28.2,14.7
202012,103,28.4,15.8
202101,172,29.1,16.6
202102,176,27.7,15.2
202103,35,27,13.9
202104,22,26.5,11.5
202105,3,23.6,7
202106,8,22,4.6
202107,1,20.4,3
202108,2,24.8,7.2
202109,5,28.2,11.2
202110,36,27.3,12.5
202111,84,28.4,14.9
202112,254,26.6,14
202201,142,27.4,14.8
202202,57,28.6,15.8
202203,51,27.4,14
202204,167,24.7,9.5
202205,32,23.3,6.3
202206,12,20.8,3
202207,1,22.4,4.8
202208,1,24.5,6.5
202209,20,28.5,11
202210,31,30.6,15.1
202211,119,27.4,13.4
202212,128,27.8,14.9
202301,67,29.2,16.6
202302,172,28,15.2
202303,24,28,14.6
202304,18,26.7,11.5
202305,55,24.2,7.2
202306,3,22.5,4.7
202307,2,21.1,3.5
202308,0,24.2,6.2
202309,12,28.5,11
202310,77,28.8,13.3
202311,30,29.3,15.3
202312,117,28.9,16
202401,96,28.5,15.9
202402,56,30,17.2
202403,26,30.1,16.7
202404,78,26.4,11.2
202405,2,26.2,9.2
202406,2,21.8,4
202407,0,22.8,5.2
202408,0,25.7,7.7
202409,7,28.2,10.7
202410,27,28.8,13.3
202411,60,29.7,15.7
202412,105,30.4,17.5
